epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8640029789935433,0.6983783550466474,0.7207899067471202,0.7227652698621403,0.7208538172353962
2,0.6191158772691945,0.6068258240729063,0.7558968732857927,0.7585543705226152,0.7559222575669944
3,0.5457650302293031,0.5295345265003462,0.7888096544157981,0.7873979358023693,0.7888194042799307
4,0.5210992512329773,0.5067242455887913,0.7937465715852989,0.7954428430967379,0.7937066223250434
5,0.5134201656477306,0.4984506029090055,0.7953922106417992,0.7946064203478522,0.7953067765567765
6,0.48876457174902405,0.47595139389762625,0.816236972024136,0.8144634631980677,0.8162328899171004
7,0.47910140858563627,0.4843662104973476,0.8085573230938015,0.8069441977769246,0.8085707056101794
8,0.46199351799817207,0.46734662856692083,0.814042786615469,0.8142183023437511,0.8140085791401581
9,0.446649488419278,0.4618316148655531,0.8134942402633023,0.8122315726119396,0.8135013013302487
10,0.4449264162156542,0.4944092212178455,0.7970378496982995,0.7952762652005572,0.7969864565259303
11,0.4365074657548126,0.4658036617479413,0.8151398793198025,0.815012462704896,0.8150990456911509
12,0.4232831937147682,0.45271555976395544,0.8261108063631377,0.8254424321765872,0.8261097455176402
13,0.42345375807853347,0.4516791890135716,0.8228195282501372,0.8217768743975618,0.8227985829959514
14,0.4136019812072298,0.4673244962800811,0.8189797037849699,0.8181640736381252,0.8189355600539812
15,0.4015841983336377,0.4469741067092496,0.8222709818979704,0.8216883752044346,0.8222660015423173
16,0.40156547855166896,0.4568101206505227,0.8217224355458036,0.8211646868867353,0.8216816078658185
17,0.3949705766604879,0.42388742667629503,0.8365331870543061,0.8355465385809501,0.8365360516676306
18,0.38507100688537094,0.44942423113577323,0.8244651673066374,0.8247993534883804,0.8244385000963949
19,0.38221301807304864,0.44173277744505346,0.8294020844761383,0.8290124153411054,0.8293558415268941
20,0.3695918362370399,0.4313015177053079,0.8315962698848053,0.8321470899876322,0.8315717177559283
21,0.3726280414659246,0.4333101168757144,0.8283049917718047,0.8287548321401799,0.8282894736842106
22,0.365486285949804,0.42541010849468014,0.8304991771804717,0.8305814237157415,0.8304896857528437
23,0.3567105856798841,0.4263955312349348,0.8326933625891387,0.8325903264244956,0.8326766435319067
24,0.3576456735809404,0.44448761400846876,0.8239166209544706,0.8240821174977511,0.8238818199344515
25,0.3518091088174836,0.4340768256523553,0.8359846407021393,0.8357508420525209,0.8359612974744554
26,0.35572393014849946,0.4235660273967964,0.8370817334064728,0.8371619379155856,0.8370662232504338
27,0.34877624360663645,0.4286051590038536,0.8348875479978058,0.8347506238719501,0.8348708309234625
28,0.3535140175028374,0.43169207621653916,0.8326933625891387,0.8325818758885954,0.8326742336610757
29,0.3554813719292754,0.43015249769928293,0.8326933625891387,0.8325403069014209,0.8326754385964912
30,0.35139655710509105,0.43022546738598677,0.8337904552934723,0.8335980648582981,0.8337719298245614
