epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,1.41482186699986,1.120432879463108,0.6127262753702688,0.5884194817354066,0.612687969924812
2,0.7509925271501748,0.7585332058513158,0.7048820625342841,0.7018169755803549,0.7048474551764026
3,0.6134868144422284,0.7718519519072473,0.6933625891387822,0.6886455491977846,0.6934523809523809
4,0.5500532055079861,0.5855504688298513,0.7701590784421284,0.7723045007314496,0.7700814536340852
5,0.5282152174955139,0.5525632534325287,0.7849698299506308,0.7836993185963606,0.784919028340081
6,0.504427553018806,0.5160106988444932,0.7986834887547998,0.7983254671826858,0.7986564970117602
7,0.4977626411564761,0.5524742384566361,0.7794843664289632,0.7789380713357307,0.7794534412955465
8,0.4810552314771205,0.5268453631306897,0.7833241908941305,0.7830390365748853,0.7833140543666859
9,0.45943918925008254,0.511926572694271,0.8156884256719693,0.813564661709812,0.8157304318488529
10,0.45925885750075146,0.5199907623472544,0.7942951179374658,0.7921706388590803,0.794331983805668
11,0.43074858234403424,0.47450663846597135,0.8222709818979704,0.8223192822075008,0.8222696163485637
12,0.4189887349850562,0.490752049840811,0.8123971475589687,0.8116908472366777,0.8123951706188548
13,0.41075275033783226,0.4958742087317638,0.811848601206802,0.8111608461689975,0.8118336707152496
14,0.4027420822173373,0.48460379224914285,0.8058145913329676,0.8058630538725816,0.8057993541546173
15,0.3949368213643799,0.4964685100352967,0.8052660449808009,0.8051850529875697,0.8052824368613843
16,0.37936199177311986,0.4931781249130027,0.8200767964893033,0.8187657570766466,0.8201139868903027
17,0.37132139172909745,0.47845955298487064,0.8178826110806363,0.8165102656751273,0.8179053402737613
18,0.36063359054117106,0.46889035955471975,0.8189797037849699,0.8183642075163411,0.8189921920185078
19,0.348118009717008,0.4633370929214239,0.8239166209544706,0.8214959609800694,0.8239348370927317
20,0.3387473455309585,0.48566352761975373,0.8189797037849699,0.8182825494886284,0.8190078561789089
21,0.3091681724406396,0.47282033635572096,0.8261108063631377,0.8265669450702504,0.8261157701947176
22,0.31181504240766655,0.4904033705485894,0.8113000548546352,0.8095380543774203,0.8113179583574319
23,0.28687136379559486,0.46656677452208767,0.8239166209544706,0.8227020683599282,0.82393001735107
24,0.28823762102174155,0.4902630224374383,0.8206253428414702,0.8195519472667525,0.8206309041835358
25,0.2848664715022399,0.48979196542576653,0.8156884256719693,0.8148052853534518,0.8157063331405436
26,0.2716310757903212,0.49054829415814666,0.8255622600109709,0.8247444408007224,0.8255759591285907
27,0.2694262580911689,0.4969404452264276,0.8200767964893033,0.8194838120804739,0.820086273375747
28,0.2609956150114656,0.4899744317221629,0.8206253428414702,0.8202093141482784,0.8206309041835358
29,0.2643060760984998,0.5053661941697293,0.8217224355458036,0.8210950126382737,0.8217298052824369
30,0.2502239935412052,0.5051865021213358,0.8206253428414702,0.8197604279368992,0.8206296992481203
